n time h0err h1err
4 0.000335 0.02702794 0.5041381
8 0.000577 0.006961849 0.2567055
16 0.001053 0.001752966 0.1289155
32 0.002632 0.0004388063 0.06452751
64 0.008794 0.0001095442 0.03227246
128 0.040719 2.741889E-005 0.01613732
256 0.201875 6.861249E-006 0.008068795
