n time h0err h1err
4 0.000076 0.02702794 0.5041381
8 0.000121 0.006961849 0.2567055
16 0.000242 0.001752966 0.1289155
32 0.000651 0.0004388065 0.06452751
64 0.002178 0.0001095445 0.03227246
128 0.00915 2.741906E-005 0.01613732
256 0.042512 6.861143E-006 0.008068795
