n time h0err h1err
4 0.000004 0.02702817 0.5041381
8 0.000019 0.006962289 0.2567055
16 0.000092 0.001753315 0.1289155
32 0.000388 0.000439124 0.06452751
64 0.001565 0.0001098307 0.03227246
128 0.008589 2.746078E-005 0.01613732
256 0.0436986 6.85389E-006 0.008068795
