n time h0err h1err
4 0.016627 0.02702794 0.5041381
8 0.035261 0.006961849 0.2567055
16 0.054348 0.001752966 0.1289155
32 0.110484 0.0004388062 0.06452751
64 0.247841 0.0001095436 0.03227246
128 0.486056 2.741881E-005 0.01613732
256 1.00001 6.861247E-006 0.008068795
