n time h0err h1err
4 0.00337 0.02702817 0.5041381
8 0.007903 0.006962289 0.2567055
16 0.011246 0.001753315 0.1289155
32 0.016013 0.000439124 0.06452751
64 0.017701 0.0001098307 0.03227246
128 0.023617 2.746078E-005 0.01613732
256 0.068076 6.865388E-006 0.008068795
